Lat.,Long.,Date, Age, Lag, ARCV, ARCL, DAZ,Means
28.4,36.73, 2011/11/25,8.45,12,2.43,4.39,3.66,Not_seen
25.25,45.25, 2011/11/25,7.98,11,2.41,4.1,3.32,Not_seen
25.62,45.62, 2011/11/25,7.95,11,2.37,4.08,3.33,Not_seen
21.42,39.83, 2012/01/23,7.42,16,3.62,5.02,3.49,Not_seen
24.6,46.45, 2012/01/23,6.89,16,3.54,4.81,3.26,Not_seen
25.25,45.25, 2012/01/23,6.95,17,3.61,4.83,3.2,Not_seen
25.62,45.62, 2012/01/23,6.91,17,3.62,4.81,3.17,Not_seen
21.42,39.83, 2012/04/21,8.4,14,3.04,3.89,2.43,Not_seen
24.39,39.63, 2012/04/21,8.46,15,3.19,3.88,2.21,Not_seen
21.42,39.83, 2012/07/19,11.68,6,1.38,7.03,6.9,Not_seen
24.6,46.45, 2012/07/19,11.34,3,0.83,6.95,6.9,Not_seen
24.39,39.63, 2012/07/19,11.79,4,1.02,7.12,7.04,Not_seen
26.35,43.95, 2012/07/19,11.56,3,0.68,7.06,7.03,Not_seen
25.62,45.62, 2012/07/19,11.43,3,0.73,7,6.96,Not_seen
21.42,39.83, 2012/09/16,13.2,5,1.34,2.85,2.52,Not_seen
24.6,46.45, 2012/09/16,12.77,3,0.72,2.33,2.21,Not_seen
26.35,43.95, 2012/09/16,12.94,2,0.53,2.26,2.19,Not_seen
25.25,45.25, 2012/09/16,12.85,2,0.66,2.31,2.21,Not_seen
26.37,49.82, 2012/09/16,12.55,1,0.39,2.06,2.02,Not_seen
25.62,45.62, 2012/09/16,12.83,2,0.6,2.27,2.19,Not_seen
24.6,46.45, 2012/11/14,15.99,33,6.7,8.81,5.73,Not_seen
26.35,43.95, 2012/11/14,16.11,33,6.57,8.9,6.02,Not_seen
27.52,41.7, 2012/11/14,16.23,33,6.49,8.98,6.22,Not_seen
28.4,36.73, 2012/11/14,16.54,33,6.53,9.17,6.45,Not_seen
25.25,45.25, 2012/11/14,16.06,33,6.66,8.85,5.84,Not_seen
25.62,45.62, 2012/11/14,16.02,33,6.61,8.84,5.88,Not_seen
26.37,49.82, 2012/11/14,15.72,32,6.38,8.67,5.88,Not_seen
21.42,39.83, 2012/12/13,5.98,16,3.48,3.56,0.73,Not_seen
24.39,39.63, 2012/12/13,5.89,16,3.47,3.5,0.51,Not_seen
24.6,46.45, 2012/12/13,5.43,15,3.22,3.28,0.61,Not_seen
26.35,43.95, 2012/12/13,5.54,16,3.3,3.33,0.44,Not_seen
27.52,41.7, 2012/12/13,5.65,16,3.36,3.38,0.32,Not_seen
25.25,45.25, 2012/12/13,5.49,16,3.26,3.3,0.54,Not_seen
25.62,45.62, 2012/12/13,5.45,16,3.24,3.28,0.52,Not_seen
21.42,39.83, 2013/02/10,7.93,16,3.78,6.09,4.78,Not_seen
24.39,39.63, 2013/02/10,7.89,18,4,6.04,4.53,Not_seen
28.4,36.73, 2013/02/10,8,20,4.38,6.03,4.15,Not_seen
25.25,45.25, 2013/02/10,7.49,17,3.86,5.91,4.48,Not_seen
25.62,45.62, 2013/02/10,7.46,17,3.87,5.9,4.45,Not_seen
26.37,49.82, 2013/02/10,7.17,17,3.77,5.8,4.41,Not_seen
21.42,39.83, 2013/04/10,6.05,9,2.09,2.95,2.08,Not_seen
25.62,45.62, 2013/04/10,5.72,9,2.07,2.8,1.88,Not_seen
21.42,39.83, 2013/10/05,2.25,15,3.43,7.28,6.43,Not_seen
24.39,39.63, 2013/10/05,2.24,14,3.09,7.32,6.64,Not_seen
26.35,43.95, 2013/10/05,1.94,12,2.74,7.2,6.66,Not_seen
27.52,41.7, 2013/10/05,2.08,12,2.66,7.28,6.78,Not_seen
25.25,45.25, 2013/10/05,1.86,12,2.84,7.15,6.56,Not_seen
25.62,45.62, 2013/10/05,1.84,12,2.78,7.14,6.57,Not_seen
26.37,49.82, 2013/10/05,1.55,12,2.59,7.01,6.52,Not_seen
21.42,39.83, 2013/11/03,14.35,0,0.23,0.41,0.34,Not_seen
21.42,39.83, 2014/01/01,17.19,12,2.64,4.58,3.74,Not_seen
24.39,39.63, 2014/01/01,17.11,13,2.8,4.53,3.56,Not_seen
24.72,46.67, 2014/01/01,16.63,12,2.56,4.44,3.63,Not_seen
26.35,43.95, 2014/01/01,16.75,13,2.74,4.44,3.49,Not_seen
27.52,41.7, 2014/01/01,16.86,14,2.87,4.44,3.39,Not_seen
28.4,36.73, 2014/01/01,17.16,15,3.1,4.49,3.25,Not_seen
25.25,45.25, 2014/01/01,16.7,12,2.63,4.44,3.58,Not_seen
25.62,45.62, 2014/01/01,16.66,12,2.64,4.43,3.56,Not_seen
26.37,49.82, 2014/01/01,16.36,12,2.52,4.38,3.58,Not_seen
21.42,39.83, 2014/03/01,20.67,14,3.38,4.96,3.63,Not_seen
24.72,46.67, 2014/03/01,20.18,14,3.3,4.74,3.41,Not_seen
26.35,43.95, 2014/03/01,20.35,15,3.49,4.78,3.28,Not_seen
25.25,45.25, 2014/03/01,20.27,15,3.38,4.77,3.37,Not_seen
25.62,45.62, 2014/03/01,20.24,15,3.39,4.76,3.34,Not_seen
26.37,49.82, 2014/03/01,19.96,14,3.27,4.65,3.31,Not_seen
21.42,39.83, 2014/04/29,9.52,17,3.93,4.31,1.76,Not_seen
24.39,39.63, 2014/04/29,9.59,18,3.86,4.36,2.03,Not_seen
28.4,36.73, 2014/04/29,9.87,18,3.84,4.53,2.41,Not_seen
25.25,45.25, 2014/04/29,9.24,17,3.66,4.19,2.06,Not_seen
25.62,45.62, 2014/04/29,9.22,17,3.63,4.19,2.09,Not_seen
26.35,43.95, 2014/07/27,17.21,8,1.81,8.91,8.72,Not_seen
21.42,39.83, 2014/09/24,9.03,5,1.28,4.05,3.84,Not_seen
24.72,46.67, 2014/09/24,8.57,4,0.9,3.91,3.81,Not_seen
26.35,43.95, 2014/09/24,8.75,3,0.84,4.01,3.92,Not_seen
27.52,41.7, 2014/09/24,8.9,3,0.82,4.08,4,Not_seen
28.4,36.73, 2014/09/24,9.23,4,0.86,4.22,4.14,Not_seen
25.62,45.62, 2014/09/24,8.64,3,0.86,3.95,3.86,Not_seen
26.35,43.95, 2014/11/22,1.67,10,2.08,2.98,2.13,Not_seen
27.52,41.7, 2014/11/22,1.78,10,2.17,2.97,2.03,Not_seen
21.42,39.83, 2015/01/20,1.81,4,1.04,4.61,4.5,Not_seen
24.72,46.67, 2015/01/20,1.26,4,1.01,4.57,4.46,Not_seen
26.35,43.95, 2015/01/20,1.4,5,1.22,4.54,4.37,Not_seen
27.52,41.7, 2015/01/20,1.51,6,1.38,4.52,4.31,Not_seen
28.4,36.73, 2015/01/20,1.82,7,1.61,4.51,4.21,Not_seen
25.25,45.25, 2015/01/20,1.34,4,1.1,4.56,4.43,Not_seen
25.62,45.62, 2015/01/20,1.31,5,1.11,4.55,4.42,Not_seen
26.37,49.82, 2015/01/20,1,4,1,4.55,4.44,Not_seen
21.42,39.83, 2015/03/20,5.92,11,2.63,2.73,0.74,Not_seen
27.52,41.7, 2015/03/20,5.8,11,2.62,2.65,0.38,Not_seen
28.4,36.73, 2015/03/20,6.13,13,2.81,2.83,0.29,Not_seen
21.42,39.83, 2015/05/18,11.67,21,4.68,7.04,5.27,Not_seen
24.39,39.63, 2015/05/18,11.76,21,4.43,7.12,5.58,Not_seen
24.72,46.67, 2015/05/18,11.3,19,4.16,6.92,5.54,Not_seen
26.35,43.95, 2015/05/18,11.53,19,4.1,7.04,5.73,Not_seen
25.25,45.25, 2015/05/18,11.41,19,4.16,6.98,5.61,Not_seen
25.62,45.62, 2015/05/18,11.4,19,4.11,6.98,5.64,Not_seen
26.37,49.82, 2015/05/18,11.14,18,3.9,6.87,5.66,Not_seen
21.42,39.83, 2015/09/13,8.75,6,1.55,3.56,3.2,Not_seen
26.37,49.82, 2015/09/13,8.11,4,1.06,3.36,3.19,Not_seen
